"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"result.38",-0.583709881797603,0.940830372915397,0.557566016815926,6.36870187224157,-0.561525356633641,0.943945138978107,0.550251281474553,0,38
"result.39",-0.624806794128863,0.938580180017047,0.588162467834946,4.77474729516957,-0.584813532664291,0.94194319480866,0.56627169527388,0,39
"result.40",-0.739113662396126,0.927063876826571,0.498871619779542,3.70322970391091,-0.546424606776442,0.945638417683786,0.469830500592677,0,40
"result.41",-0.480199690528957,0.953336723757123,0.54769073475104,3.2784973947437,-0.471644771510364,0.953900684359959,0.519397786886116,0,41
"result.42",-0.722856891050836,0.928698056806705,0.569712465773293,14.7556901541367,-0.667248922596082,0.933605281000638,0.55850157832388,0,42
"result.43",-0.555547904403034,0.945573404458764,0.520005497637731,4.1803607697454,-0.750210403431908,0.925021181429004,0.585621442093722,0,43
"result.44",-0.755476543452048,0.922471190317531,0.530691538059136,6.16535348045031,-0.813644558884238,0.917996554447145,0.537855079404064,0,44
"result.45",-0.297011736784095,0.971042614126502,0.443797258715844,2.80648457604909,-0.422950123154879,0.95971056293736,0.453707804876986,0,45
"result.46",-0.528905157367156,0.948308518495678,0.501513431971267,6.36625470445237,-0.600183517910409,0.940485771068121,0.505938059465049,0,46
"result.47",-0.507488957055788,0.949377700688454,0.550996507073062,7.88987960499866,-0.54030951203313,0.946330406517954,0.548003312044815,0,47
"result.48",-0.653840496219234,0.935202266440802,0.505237828326821,8.91764361169927,-0.535971939218075,0.945985233182961,0.50092205937929,0,48
"result.49",-0.491533161298015,0.950700947723545,0.510943663930887,9.43131017958578,-0.556422804042255,0.944728340369766,0.496890509872943,0,49
"result.50",-0.481950456918709,0.952616751060248,0.50842882217464,3.35341925130537,-0.556558305702586,0.944592653362682,0.536471835960181,0,50
"result.51",-0.787653414299724,0.921995595714399,0.614368475175459,14.0892954529085,-0.735099575216766,0.928164261108495,0.576521271022246,0,51
"result.52",-0.430542940707136,0.955851373870864,0.453571000936743,12.6966060807344,-0.482773249235297,0.95145707678751,0.461524740865402,0,52
"result.53",-0.605710043460894,0.938937546183703,0.496260317293285,12.9381748891297,-0.635161227576684,0.936630711283289,0.516943694975651,0,53
"result.54",-0.545770046664551,0.946479796419963,0.464083639046781,2.79382074040468,-0.473655098615041,0.952661375229119,0.438170889647328,0,54
"result.55",-0.344874537045896,0.962249088254313,0.438954546354415,14.58938208681,-0.416161633021498,0.95611285921005,0.462766856938715,0,55
"result.56",-0.415442995040196,0.958586408341637,0.436828063427327,4.61610476517254,-0.456539874739508,0.954467727395354,0.475233896272526,0,56
"result.58",-0.506924534349166,0.949807806909505,0.561277657149513,3.80081189956661,-0.515533662313324,0.948710232142031,0.546669828992638,0,58
"result.59",-0.636625807564462,0.938414847110433,0.528092811413396,3.11236169125932,-0.564399025810698,0.944319052298974,0.510306557670234,0,59
"result.60",-0.424876903159526,0.959552241591116,0.467764300412763,13.9732048296962,-0.515403324498583,0.949968753337378,0.526751869246621,0,60
"result.61",-0.706512758357089,0.927774805601243,0.518898972660812,6.93838063330399,-0.695903494701322,0.929402233052613,0.506690628996394,0,61
"result.62",-0.681108130153046,0.931562286590177,0.535894211221472,7.95582968280243,-0.599556348155521,0.940686683303515,0.523800605791835,0,62
"result.63",-0.447396303335636,0.95439749101887,0.569297479953381,4.40993805387201,-0.427450734266651,0.956129987568716,0.540934267120777,0,63
"result.64",-0.39235282869919,0.962040737513562,0.477794364016137,15.9873065125583,-0.465915908722056,0.953169889718219,0.500566232561007,0,64
"result.65",-0.560362080603276,0.943245209439166,0.531959124925637,5.02865334356729,-0.561051001199977,0.943452067513115,0.532326688687848,0,65
"result.66",-0.586426382549625,0.937395251535202,0.515894100176992,13.7837080276117,-0.679827827805389,0.927941387005662,0.531732122249549,0,66
"result.67",-0.535094962112526,0.943811225796213,0.507464240630263,15.6405322000471,-0.566835812678566,0.941164350929235,0.497364458685532,0,67
"result.68",-0.387310148876235,0.9611653481341,0.543655569843853,3.36719997830485,-0.414538481711215,0.958292499978455,0.552603827508884,0,68
"result.69",-0.598915182001523,0.940061435826597,0.473440911518525,12.7001055028979,-0.702752440816575,0.93002038535814,0.497027644236409,0,69
"result.70",-0.721393951055481,0.930358883219536,0.552301637153494,3.29134066959117,-0.708190956974206,0.929800282593952,0.535281625742425,0,70
"result.71",-0.408580589875634,0.958566391233949,0.534013214420491,3.17032382639288,-0.481946669595729,0.951854270642483,0.513335597244515,0,71
