"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"result.45",-0.281770883744239,0.972363684601803,0.341938647238529,2.44879299908327,-0.440676677553336,0.957530349978822,0.328734222894349,0,45
"result.46",-0.51908588439754,0.948469872598603,0.345617231806299,9.46781852302976,-0.63246863950249,0.937091539462244,0.359281519392018,0,46
"result.47",-0.552353440946265,0.944865853967102,0.412601019834415,6.56683645630338,-0.57744898792844,0.942575369302116,0.397749205214917,0,47
"result.48",-0.626540334673439,0.937824625909055,0.356848255440581,3.56822001402295,-0.551964825004792,0.944492605710285,0.359034707790095,0,48
"result.49",-0.419781269163729,0.957596810078367,0.319797334158768,9.51245223066826,-0.531635693738486,0.946932037973236,0.337732424744151,0,49
"result.50",-0.497069046281048,0.950505609195614,0.356775463254475,3.43017406054416,-0.59842404631591,0.940431615137729,0.386857328544644,0,50
"result.51",-0.874412166495216,0.913109137247406,0.456093305930548,22.4042032850624,-0.801983596744354,0.921159093849254,0.426119340329918,0,51
"result.52",-0.386214039650143,0.960742371235311,0.294505660230812,17.0310058418305,-0.494239683405597,0.950374838573852,0.321754459043628,0,52
"result.53",-0.681322438832375,0.931514645305288,0.368883796224449,10.8971205101185,-0.686252443760959,0.931498489063826,0.372343925233047,0,53
"result.54",-0.539585846917816,0.946574809901987,0.35191580501659,2.51699493715977,-0.463973736348724,0.953598609904261,0.305100667698476,0,54
"result.55",-0.322262619169624,0.965682705937495,0.295629487455958,7.28738189525471,-0.408928055269775,0.957432325044177,0.313674066916688,0,55
"result.56",-0.467992637072033,0.953866955934613,0.345172634843017,2.49124649751903,-0.477587238058549,0.95235465470042,0.340411600897094,0,56
"result.57",-0.510882973547855,0.949068805964584,0.285717840112763,4.71618305451434,-0.401534313273694,0.960059455539786,0.303429839396649,0,57
"result.58",-0.512798222398722,0.948933460951617,0.398246003427414,4.42621055105823,-0.522314272798438,0.948038733119908,0.387412015936325,0,58
"result.59",-0.655462417313554,0.936127555088327,0.375735258062916,3.43238568640487,-0.615495746338011,0.939160862418436,0.377626651588679,0,59
"result.60",-0.382663529022821,0.962937018168582,0.314494645009063,8.28565183484738,-0.533746903230937,0.947659721833435,0.377750444648002,0,60
"result.61",-0.67879869185912,0.9306996740315,0.353009684735042,9.81893317385567,-0.717943830271114,0.927434372507074,0.356922664308628,0,61
"result.62",-0.715181360119434,0.92824342741519,0.371007558202438,8.64226662725085,-0.58753245918894,0.941642203217418,0.357820029431859,0,62
