"","omega","","",""
"result.305",0.0137188773379115,0.0137761111715875,0.0139389828506395,305
"result.306",0.0131955131625339,0.0141735750222054,0.0143428707012774,306
"result.307",0.0137385744188905,0.0136728354794755,0.0138340459755071,307
"result.308",0.0139640484121789,0.0142105575943887,0.0141585392398653,308
"result.309",0.0137362135993295,0.0144349140741085,0.0146084598233003,309
"result.310",0.0128115607090219,0.0142441840760412,0.0144146260209865,310
"result.311",0.0121049495764709,0.0132883921089686,0.0134434485198582,311
"result.312",0.0114209187990197,0.0125913628826808,0.0127353842406919,312
"result.313",0.010826347840142,0.0119248018960505,0.0120584255220919,313
"result.314",0.0103423411355264,0.0113504517761456,0.0114752441175696,314
"result.315",0.00988171076157142,0.0108161751853757,0.0109328643416049,315
"result.316",0.00970390305005549,0.0103654948786058,0.0104754366029383,316
"result.317",0.0120557426655909,0.0103135835818549,0.0104227534410555,317
"result.318",0.011423836056746,0.0125268052324472,0.0126698127918203,318
"result.319",0.0138012987222327,0.0119776726080332,0.0121121152403632,319
"result.320",0.015102396249945,0.0143075175379224,0.0144789889167143,320
"result.321",0.0168759087889035,0.0155994932063166,0.0157922203738039,321
"result.322",0.0192977409706263,0.0173527097451185,0.0175750106970227,322
"result.323",0.0175114537276933,0.0196531659741694,0.0199154178540155,323
"result.324",0.0160030558354676,0.0179599864339295,0.0181927128842787,324
"result.325",0.0148456132210902,0.0164490292962753,0.0166559864204814,325
"result.326",0.0198503118093399,0.0153464625452173,0.015534989346996,326
"result.327",0.0182301718188464,0.0201842593070367,0.0204559043046473,327
"result.328",0.0170995313684498,0.018677708719558,0.0189228704256337,328
"result.329",0.015643991141278,0.0175296856439715,0.0177550155540658,329
"result.330",0.0161454205975824,0.0160974468581045,0.0162984914301845,330
"result.331",0.0148009239873115,0.0165923399047543,0.0168017163883647,331
"result.332",0.016129104272054,0.0152921714609064,0.0154797993451794,332
"result.333",0.0181902529874278,0.016590346329501,0.0167996891211075,333
"result.334",0.0166735646378064,0.0186053986395436,0.0188493020496665,334
"result.335",0.0157136705341171,0.0171223854850311,0.0173407560538053,335
"result.336",0.0150317081296363,0.0162398173933909,0.0164432522693332,336
"result.337",0.017178096047211,0.0155283987368691,0.0157199439256672,337
"result.338",0.0157222012676026,0.0176191618476125,0.0178460260803561,338
"result.339",0.0144555863246977,0.016256367275993,0.0164600803622008,339
"result.340",0.0148594286865359,0.014978288601192,0.0151607357449066,340
"result.341",0.0148933701700017,0.0153481583162218,0.0155367132088244,341
"result.342",0.0160023050961622,0.0154022315832307,0.015591682633108,342
"result.343",0.0147864422935555,0.0164689978432975,0.01667629175423,343
"result.344",0.0140440295079,0.0153031303160773,0.0154909395835219,344
"result.345",0.0133482606587342,0.014568078175536,0.0147437973712314,345
"result.346",0.0125333399861315,0.0139110396113793,0.014076086614061,346
"result.347",0.0180090413081764,0.0131387212972456,0.0132913946575499,347
"result.348",0.0168512388784921,0.0184237484344081,0.0186644962220512,348
"result.349",0.0157846047847618,0.0172898920421645,0.0175111197260733,349
"result.350",0.0184340384418993,0.0162879055843561,0.0164921490428398,350
"result.351",0.0168260512195864,0.0188230052558467,0.0190706989601566,351
"result.352",0.0154025528022495,0.0172672961967422,0.017488138060564,352
"result.353",0.0142002370398199,0.0159094320729523,0.016107328308415,353
"result.354",0.015023653809568,0.0147381172195722,0.0149166193165584,354
"result.355",0.0141639837880047,0.0154953200243924,0.0156863157407443,355
"result.356",0.0131338833610606,0.0146979694979095,0.014646255313373,356
"result.357",0.012388202950938,0.0136356650769542,0.0137962785082593,357
"result.358",0.0133188605472602,0.0129622247676551,0.0131120973768546,358
"result.359",0.0131550780597185,0.0138618871865575,0.0140261410972116,359
"result.360",0.0202339696207417,0.0137588690755663,0.0139214631845945,360
"result.361",0.0187838202001136,0.0205274197071716,0.0208051660527602,361
"result.362",0.0171475851787925,0.0191795735974623,0.019433501385457,362
"result.363",0.0157658679263861,0.0175337140554817,0.0177591130019223,363
"result.364",0.0173016286233321,0.0162145759490429,0.0164175866456944,364
"result.365",0.0158457202148446,0.017682978255074,0.0179109379952322,365
"result.366",0.0148450892367512,0.0163267931659092,0.0165316909490727,366
"result.367",0.0137691991439589,0.015313807008944,0.0155017930218335,367
"result.368",0.0127927702903246,0.0142237575124895,0.0143938676980966,368
"result.369",0.0146044101101122,0.013310438684762,0.013465846733915,369
"result.370",0.0139353626597197,0.015029866738324,0.0152131632707651,370
"result.371",0.0140233942765553,0.0144050320129097,0.0145780907636137,371
"result.372",0.0157700126117237,0.0144973775179764,0.0146719421138997,372
"result.373",0.015586191710936,0.01618499247747,0.0163875062426726,373
"result.374",0.0153538220424151,0.0160420074823051,0.0162421227270286,374
"result.375",0.0144702542141804,0.0158058311742408,0.0160019966714273,375
"result.376",0.0137510284267472,0.0149931817672027,0.0151758740932806,376
"result.377",0.0144846040747182,0.0142398772959567,0.014410249281589,377
"result.378",0.0134556928677827,0.0150058859297602,0.0151887874514856,378
"result.379",0.0178619658249001,0.0139966104043125,0.0141630399012698,379
"result.380",0.0173096607413517,0.018299522549988,0.0185381167203431,380
"result.381",0.0162999711864691,0.0177099643243608,0.0179383876203687,381
"result.382",0.0154052953151741,0.016777666773315,0.0169901798169363,382
"result.383",0.0158812561262315,0.0158949589722752,0.0160926132479844,383
"result.384",0.0238941972210319,0.0164199219377323,0.0166263883279996,384
"result.385",0.0223339354897797,0.0239935128323836,0.0243342054468982,385
"result.386",0.0214603011234611,0.0225434058974869,0.0228574819388072,386
"result.387",0.0219906487647909,0.0217003051768998,0.0219990892507624,387
"result.388",0.0227414396919333,0.0222211979802509,0.0225294135807488,388
"result.389",0.0205770333966607,0.0229339331554499,0.0232551388093825,389
"result.390",0.0211154226667099,0.0209284914124268,0.0212134000239317,390
"result.391",0.0441548590127016,0.0216593966948793,0.0219574423237603,391
"result.392",0.0427573336142638,0.0429786655967277,0.0436965049265368,392
"result.393",0.0675033273812955,0.0418556369227119,0.0425499552274928,393
"result.394",0.0612306803738026,0.0640172089455788,0.065196186854017,394
"result.395",0.0555848390588516,0.0584293479031359,0.0594824406480186,395
"result.396",0.0494545697246282,0.0533496883267688,0.0542903462699584,396
"result.397",0.0516403612780955,0.0477633145660477,0.0485827466565425,397
"result.398",0.0461264480262089,0.0497889236707962,0.0506520021494126,398
"result.399",0.0430264812807501,0.0447088558269897,0.0454631795672711,399
"result.400",0.0383053527659525,0.0418555359472563,0.0425498521429901,400
"result.401",0.0405713098388928,0.0375190585946896,0.0381238042524572,401
"result.402",0.0362289205784313,0.0396098063855774,0.0402574811496592,402
"result.403",0.0394581514077383,0.0355722198876052,0.0361374429267656,403
"result.404",0.0352459766804383,0.0386250307197642,0.0392524242780254,404
"result.405",0.0320479602396238,0.0346799602035119,0.0352272216891762,405
"result.406",0.032122480128752,0.0316918098826378,0.032179654940883,406
"result.407",0.0287054641997261,0.0317481363714407,0.0322370905353395,407
"result.408",0.028075820912298,0.0285588887618857,0.028985747256975,408
"result.409",0.0254089560925611,0.0279327558997196,0.0283475985636485,409
"result.410",0.0232693792225342,0.025404032444392,0.0257709775333623,410
"result.411",0.0243396610857698,0.0234790322370699,0.0238102371966775,411
"result.412",0.0221053452729473,0.0244074958339624,0.0247558573487154,412
"result.413",0.0210931472205906,0.0222915676310507,0.0226010614349619,413
"result.414",0.0214708700266835,0.0213519163452034,0.0216444222901586,414
