"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"result.55",0.00599952551555909,0.0115813734907064,0,0.000279092398757367,0.0151705964350403,0,0.000458553545974062,0.0119383179755045,0,0.000296939622997269,0.0105001597785375,0,0.000225031713148919
"result.56",0.00219506244794478,0.0120087929997439,0,0.000490686527589956,0.01502433451642,0,0.000641463603423759,0.0118101920205198,0,0.000480756478628751,0.00893508087282413,0,0.000337000921243968
"result.57",0.00137824564912531,0.0118884912683157,0,0.00052551228095952,0.0143541054325681,0,0.000648792989172142,0.0112790681528459,0,0.000495041125186028,0.00876597945288182,0,0.000369386690187826
"result.58",-0.00101183204120338,0.0114015630235045,0,0.000620669753235393,0.0137131535042539,0,0.000736249277272866,0.0107850133491501,0,0.000589842269517673,0.00826255785522534,0,0.000463719494821436
"result.59",-0.0080853416051243,0.0109440150767384,0,0.000951467834093134,0.0131439445997949,0,0.00106146431024596,0.01034967440979,0,0.000921750800745717,0.00655219600917434,0,0.000731876880714933
"result.60",0.00725222675101688,0.0105591073121687,0,0.000165344028057591,0.0139535089728901,0,0.000335064111093663,0.0109662848170699,0,0.000185702903302653,0.00784539052721556,0,2.96581888099336e-05
"result.61",0.000447769817939093,0.0111223316406992,0,0.000533728091138006,0.0143283488235064,0,0.000694028950278368,0.0112601393828513,0,0.00054061847824561,0.00962414482548724,0,0.000458818750377408
"result.62",-0.00518014501291965,0.0113843400024152,0,0.000828224250766742,0.0136928096837972,0,0.000943647734835844,0.0107441968345085,0,0.000796217092371409,0.00989841791119517,0,0.000753928146205741
"result.63",-0.00376550556334917,0.0109157021143957,0,0.000734060383887246,0.0136344636497845,0,0.000869998460656683,0.0107132223529744,0,0.000723936395816179,0.0113372933064468,0,0.000755139943489801
"result.64",-0.00810289879901501,0.0108797412339143,0,0.000949132001646468,0.0133635583994883,0,0.00107332285992517,0.0104923869956439,0,0.000929764289732948,0.0127519700645777,0,0.00104274344317964
"result.65",0.000185784627915473,0.0106923118132372,0,0.000525326359266085,0.0141662435375358,0,0.000699022945481019,0.011080130104152,0,0.000544717273811827,0.0135747377234949,0,0.000669447654778974
"result.66",-0.0063543274862008,0.0112159141097621,0,0.000878512079798145,0.0135465300896693,0,0.000995042878793506,0.0105938767572658,0,0.000847410212173328,0.0108896239681897,0,0.000862197572719526
"result.67",-0.0185407939056846,0.0107820763655226,0,0.00146614351356036,0.0137839164079954,0,0.001616235515684,0.0107925166363722,0,0.00146666552710284,0.0131216994433814,0,0.0015831246674533
"result.68",-0.00083376349505841,0.0110124473997004,0,0.000592310544737942,0.0186595504081277,0,0.000974665695159305,0.0146302503218408,0,0.00077320069084496,0.0113206264456878,0,0.000607719497037309
"result.69",-0.0104147369923545,0.0143941987325817,0,0.00124044678624681,0.0173926428907586,0,0.00139036899415566,0.0136302032886737,0,0.00120224701405141,0.00858080341655665,0,0.00094977702044556
"result.70",-0.00131297075326328,0.0135515937606172,0,0.000743228225694025,0.0179049427385701,0,0.000960895674591671,0.0140305036538339,0,0.000767173720354861,0.00985425529572836,0,0.000558361302449583
"result.71",-0.00379520265908938,0.0138868151470817,0,0.000884100890308554,0.0168151514899573,0,0.00103051770745233,0.0131598732569327,0,0.000847753795801104,0.00995843482912306,0,0.000687681874410623
"result.72",0.00227356907053728,0.0131115028709914,0,0.000541896690022706,0.0160675288308091,0,0.000689697988013593,0.0125725729784277,0,0.000514950195394523,0.00743902678126318,0,0.000258272885536295
"result.73",2.4771481378997e-05,0.0125814481250401,0,0.000627833832183058,0.0153084744873067,0,0.000764185150296387,0.0119632557227753,0,0.000596924212069815,0.00667146051974754,0,0.000332334451918427
"result.74",0.00732279814363346,0.012026689510698,0,0.000235194568353226,0.0145512670549938,0,0.000361423445568016,0.0113759701067208,0,0.000202658598154369,0.00740881286380812,0,4.30073600873331e-06
"result.75",-0.000569518409261186,0.0114922557058819,0,0.000603088705757153,0.0148316939941188,0,0.000770060620168998,0.0115833123199411,0,0.000607641536460117,0.00889368314886241,0,0.00047316007790618
"result.76",-0.0081530481084398,0.011676633844111,0,0.000991484097627541,0.0141631594150651,0,0.00111581037617525,0.011050133545622,0,0.00096015908270309,0.00855939912029413,0,0.000835622361436697
"result.77",-5.33946061240411e-06,0.0111941102050324,0,0.000559972483282239,0.01470878387441,0,0.000735706166751119,0.0114911673999652,0,0.000574825343028878,0.00812175240655932,0,0.000406354593358587
"result.78",0.00529982199850138,0.0115909361665203,0,0.000314555708400946,0.0140465623544507,0,0.000437337017797468,0.0109631177909819,0,0.000283164789624029,0.00781767917445819,0,0.000125892858797841
"result.79",-0.000898079485557219,0.0111108802793822,0,0.000600447988246973,0.0139430356176698,0,0.000742055755161351,0.0109088914703727,0,0.000590348547796495,0.00883610662437917,0,0.00048670930549682
"result.80",0.00335140176940847,0.0110580640553835,0,0.00038533311429875,0.0133921307375188,0,0.00050203644840552,0.0104729685624228,0,0.000356078339650718,0.00972757398687207,0,0.000318808610873181
"result.81",-0.000252713008480416,0.0106554916520949,0,0.000545410233028766,0.0131370199519293,0,0.000669486648020489,0.0102593879475629,0,0.000525605047802164,0.0105840596578375,0,0.000541838633315896
"result.82",0.00171395783787307,0.0104523495419855,0,0.000436919585205621,0.0126805282544084,0,0.000548328520826766,0.00990510787269278,0,0.000409557501740985,0.00892811073942568,0,0.00036070764507763
"result.83",0.00265823815435071,0.0101198041669264,0,0.000373078300628783,0.0123594971496909,0,0.000485062949767008,0.00964630886275242,0,0.000349403535420086,0.0093668068589281,0,0.00033542843522887
"result.84",-0.00244951274640276,0.00987526539203287,0,0.000616238906921782,0.0121737341609772,0,0.000731162345368998,0.00949019542346522,0,0.0005969854084934,0.00960539970316887,0,0.000602745622478582
"result.85",-0.00749415762653928,0.00972583431630625,0,0.000860999597142277,0.0119775539738474,0,0.000973585580019334,0.0093359570573543,0,0.00084150573419468,0.013370686236776,0,0.00104324219316576
"result.86",-0.0224626317600245,0.00961945358040595,0,0.00160410426702153,0.012916889907131,0,0.00176897608335778,0.0100426603779916,0,0.00162526460690081,0.0142973508532336,0,0.00183799913066291
"result.87",-0.00994164599818869,0.0104388426060709,0,0.00101902443021298,0.0202862938309524,0,0.00151139699145706,0.0158203521501797,0,0.00128809990741842,0.0223234231750169,0,0.00161325345866028
