"","1991-12-13","","","","","","",""
"result.49",0.00203956855540444,0.01424032103521,0.0141996887954932,0.018474751520081,0.0201743449861382,0.0201274196374825,0.0268689984646874,49
"result.51",0.0118674047002498,0.014235287978984,0.0141946746533748,0.0183579838958159,0.0201672146263618,0.0201203123167417,0.0267562842744376,51
"result.52",-0.00359383659118695,0.0140951650127121,0.0140550776174919,0.0185485616574508,0.0199687016114396,0.0199224398026487,0.0270058777385104,52
"result.53",-0.00280675030419442,0.0141289640490996,0.0140887499090567,0.0184708470394572,0.0200165849013203,0.0199701687601177,0.0267439669223521,53
"result.54",-0.000605950434171554,0.0141759504912002,0.0141355600328055,0.0184188647399431,0.0200831508649841,0.0200365200032522,0.026776261637742,54
"result.55",0.000969329995385237,0.014069581993688,0.0140295904848742,0.0182022925308407,0.0199324580007456,0.0198863129395406,0.0264068579866222,55
"result.56",-0.00856270047243246,0.0140258481850353,0.013986020495274,0.0181229067157947,0.0198705000616641,0.0198245544406674,0.0262862264918268,56
"result.57",-0.0069130913932014,0.0139251870556549,0.0138857359554905,0.0182404679777296,0.0197278928588034,0.0196824056200668,0.0265119539081439,57
"result.58",-0.00510515436261993,0.0136650935266758,0.0136266124211275,0.01779403105196,0.0193594168554014,0.0193151096751123,0.0257576079550869,58
"result.59",0.00190202986176935,0.0138510837507866,0.0138119094629943,0.0179995779091748,0.0196229102791747,0.019577759890403,0.0261918786400515,59
"result.60",0.00413748647765644,0.0138139376330813,0.0137749019696187,0.0180204745102428,0.0195702851598654,0.0195253034345129,0.0261099312696603,60
"result.61",-0.00705378535285028,0.0139122298509378,0.0138728271780977,0.0181340121515839,0.0197095363120994,0.0196641080092022,0.0263351337706287,61
"result.62",-0.000346529356805014,0.0137615996049263,0.0137227591066349,0.0180270554785489,0.0194961375733484,0.0194513932735632,0.0261560394608125,62
"result.63",0.00481638260425576,0.0138008409080541,0.0137618540982842,0.0178936622647035,0.0195517309539284,0.0195068086642678,0.0259519638894921,63
"result.64",0.00135434317034289,0.0136841748470218,0.013645622730543,0.0178368508612667,0.0193864494720302,0.0193420559329169,0.0258286818247631,64
"result.65",0.00781888609565851,0.0136766317959811,0.0136381077537564,0.017764980207276,0.0193757631880871,0.0193314037916323,0.0257809219760523,65
"result.66",-0.0010503903594925,0.0137494849873647,0.0137106896380956,0.0178589096836043,0.019478974724727,0.0194342853452341,0.0259162349281139,66
"result.67",0.00158738421338001,0.0136138781157271,0.0135755874885533,0.0177002024190475,0.0192868596871492,0.0192427841301921,0.0256518306830971,67
"result.68",0.0036536395383715,0.0135931169612391,0.01355490349858,0.0177426175748884,0.019257447239788,0.0192134655055227,0.0259343240270138,68
"result.69",-0.00338521289545124,0.0135453428075962,0.0135073068016922,0.0175589910494162,0.0191897653206397,0.0191459993303695,0.0255278212127431,69
"result.70",-0.00251590647659228,0.0134014781982685,0.0133639756542223,0.0174559370902317,0.0189859514984008,0.0189428338811908,0.0253400173594931,70
"result.71",-0.00333174244994439,0.0134119141425728,0.0133743729479718,0.0174559929520733,0.0190007361609261,0.018957571577026,0.025385970087594,71
"result.72",0.000833957248269179,0.0133602791663989,0.0133229291352635,0.0174287680817907,0.0189275845922126,0.0188846522883566,0.0253770153217824,72
"result.73",-0.0107474537768715,0.0132653038766435,0.0132283049922322,0.0172411003721309,0.0187930325511516,0.0187505268253361,0.0251096677731534,73
"result.74",-0.0012399257633211,0.013233153211651,0.0131962730570123,0.0174414045073526,0.0187474845185349,0.0187051229991582,0.025383947314196,74
"result.77",-0.00927028360194804,0.0131903125752402,0.0131535905177955,0.0172316977994481,0.0186867919417111,0.0186446224212418,0.0251225839169353,77
"result.78",0.00261826224185757,0.0130210134125335,0.012984914894453,0.0171886756483386,0.0184469448409246,0.0184055323184751,0.025013779948002,78
"result.79",0.0100107585282432,0.01317751917518,0.0131408443055463,0.0172422996203443,0.0186686674580088,0.0186265552392015,0.0251612523978081,79
"result.80",-0.0187400446118087,0.0132003869106612,0.0131636276866303,0.0175302781789442,0.0187010643108252,0.0186588496562266,0.0255915665274768,80
"result.81",-0.008983602380777,0.0133281869462465,0.013290955636343,0.0183482048127647,0.0188821193587287,0.0188393312930017,0.0267946152304467,81
"result.82",0.0154441656258451,0.0138837893336401,0.0138444929184445,0.0183725266458065,0.0196692444671172,0.019623945471686,0.0268504991789532,82
