"","V1","V2","V3"
"result.100",0.0134338722765632,0.0137399518326973,100
"result.101",0.0131481509760464,0.0131716086885874,101
"result.102",0.0131502806953803,0.0129338970702619,102
"result.103",0.0125922997370362,0.0129130444631684,103
"result.104",0.012730170143842,0.0124469431017289,104
"result.105",0.0125811013118642,0.0125109787277964,105
"result.106",0.0122645871003426,0.0123970655454926,106
"result.107",0.011848871416631,0.0121271800345468,107
"result.108",0.0132564694591174,0.0117812424303239,108
"result.109",0.0125777557135645,0.0128985497300889,109
"result.110",0.0129570152410906,0.0124361631351704,110
"result.111",0.0129772278619299,0.0127060368109611,111
"result.112",0.0141404294718905,0.0127674409508316,112
"result.113",0.0134771330411982,0.01373014328491,113
"result.114",0.0133149104072826,0.0132424291901785,114
"result.115",0.0127367817964558,0.01304060260113,115
"result.116",0.0129693834559866,0.0125554882138275,116
"result.117",0.0124323753911054,0.0127288550996454,117
"result.118",0.0121903727979834,0.0122795916323,118
"result.119",0.0117825547028891,0.0120446856621115,119
"result.120",0.0114191646080909,0.0116708292927896,120
"result.121",0.0113621459787883,0.011370451914452,121
"result.122",0.0110674840230159,0.0112981347741439,122
"result.123",0.0167980246521121,0.0112761580337732,123
"result.124",0.0160562113579939,0.015414175729866,124
"result.125",0.0153338304002696,0.0154857370296284,125
"result.126",0.014968268278443,0.0148028537642304,126
"result.127",0.015268263077414,0.0145456182549779,127
"result.128",0.0165741360561596,0.0147373898681664,128
"result.129",0.0162234968161933,0.0157565228464946,129
"result.130",0.0152160893635481,0.0156080600108837,130
"result.131",0.0144605875460215,0.0147788530821984,131
"result.132",0.0138762338981565,0.0140678871967381,132
"result.133",0.0132026061986262,0.0135087752584653,133
"result.134",0.0129220708644556,0.0129225285856691,134
"result.135",0.0133992107807888,0.0127441679603422,135
"result.136",0.0130896821705641,0.0130606322124791,136
"result.137",0.0128545432155791,0.0128238763058945,137
"result.138",0.0125585890873912,0.0126526848756967,138
"result.139",0.0121182909051506,0.0123776053788518,139
"result.140",0.0127030212787338,0.0120285086614658,140
"result.141",0.0121984315927896,0.0124445842028322,141
"result.142",0.0118013357984118,0.0120584971608579,142
"result.143",0.0114826990282551,0.0117046144498758,143
"result.144",0.0114893106105331,0.0114646469929696,144
"result.145",0.0112511899481922,0.0114129809512136,145
"result.146",0.0111009474679765,0.0112425232430908,146
"result.147",0.0109011014966379,0.0110924796720653,147
"result.148",0.0117107928621131,0.0109493184240463,148
"result.149",0.0155934295646887,0.0116734762552184,149
"result.150",0.0144434324887361,0.0148125387093572,150
"result.151",0.0147238277787591,0.0140776266868627,151
"result.152",0.0178850883086596,0.0144207148210498,152
"result.153",0.0169501489320802,0.0170665837780533,153
"result.154",0.0156934718790693,0.0161091945592844,154
"result.155",0.014734964139746,0.0150609741212193,155
"result.156",0.0154845421594526,0.014296661252267,156
"result.157",0.0158945416443375,0.0149597432367656,157
"result.158",0.0151253653609701,0.0152800454734248,158
"result.159",0.0141713078595114,0.0145466207202034,159
"result.160",0.0134488405129729,0.0137371517151834,160
"result.161",0.0128922764729328,0.0130822865526383,161
"result.162",0.0124278577546357,0.0126082843646955,162
"result.163",0.0124029084704982,0.0121927806025539,163
"result.164",0.0130304318262692,0.0123165559928893,164
"result.166",0.0123532433748728,0.0122852075407067,166
"result.167",0.0119131894399151,0.0121354808685865,167
"result.168",0.0115979876541496,0.0117941952801246,168
"result.169",0.0115154752359282,0.0115634401763103,169
"result.170",0.0112283198097262,0.0114650638671137,170
"result.171",0.0109988772136753,0.0112097282839514,171
"result.173",0.0110273963031564,0.0111182568353101,173
"result.174",0.0108292304623288,0.011038972442627,174
"result.175",0.0106806510945366,0.0108730002188295,175
"result.176",0.0115195746383554,0.0107861492448009,176
"result.177",0.0117574689506678,0.0115780989178447,177
"result.178",0.0114482073086597,0.0117036822414818,178
"result.179",0.0127456256261598,0.0114339853190941,179
"result.180",0.012546015554711,0.0126582340720987,180
"result.181",0.0121379971228192,0.0123308562122659,181
"result.182",0.0122373227635257,0.0119976689363241,182
"result.183",0.0118907158569992,0.0121143778126722,183
"result.184",0.0115926751829805,0.0117830491676258,184
"result.185",0.0117612497626862,0.0115397242089799,185
"result.186",0.0114565512085011,0.0117137789227044,186
"result.187",0.0115211728769069,0.0114169738430334,187
"result.188",0.0113561225484488,0.0114981936950258,188
"result.189",0.0115113692933612,0.0113424163151095,189
"result.190",0.0123921280890441,0.0115214594914406,190
"result.191",0.0121754246789301,0.0123070442063877,191
"result.192",0.0153793302421842,0.0121078313350509,192
"result.193",0.0158682048641747,0.0152070663675588,193
"result.194",0.0149817780456273,0.015190318754243,194
"result.195",0.013971448247092,0.0143272572198114,195
"result.196",0.0131102692728296,0.0134410157276577,196
"result.197",0.012540221877288,0.012771568914026,197
"result.198",0.0120506518305882,0.0123004367972825,198
"result.199",0.0116698022252343,0.0119012276340911,199
"result.200",0.0123019771341558,0.0116415707077024,200
"result.201",0.0120403433481371,0.0122552212767388,201
"result.202",0.0118980267147403,0.011918635537107,202
"result.203",0.0121202712722082,0.0118342234263835,203
"result.204",0.017821837218576,0.0121447175253522,204
"result.205",0.0184604522389706,0.0176592364762556,205
"result.206",0.0178988622923125,0.0173479898331195,206
"result.207",0.0168663746130461,0.0167947735304992,207
"result.208",0.0157297035778017,0.0158378080355632,208
"result.210",0.0136205289653973,0.0139741566668263,210
"result.211",0.0129503943589499,0.0130255516074484,211
"result.212",0.0122993588925468,0.0126047265807117,212
"result.213",0.013065758088175,0.012166219151247,213
"result.214",0.0127998222686088,0.0129990464519452,214
"result.215",0.0121868922276571,0.012479131721868,215
"result.216",0.0120553176897486,0.0119918769920062,216
"result.217",0.0124663193855772,0.0120030150003103,217
"result.218",0.0121827923466391,0.0124277190379516,218
"result.219",0.0136413758005455,0.0120108462804822,219
"result.220",0.0133430066648356,0.0136824819297132,220
"result.221",0.0126958082946551,0.0128294682418257,221
"result.222",0.0122507806130751,0.0124292232456966,222
"result.223",0.0119359548816125,0.0120735282436257,223
"result.224",0.0117194916711835,0.0118346944879519,224
