"","V1","V2","V3","V4","V5"
"result.61",-0.000217213117012277,0.00923728941534563,0.00920206683830571,0.0105390308578725,61
"result.62",0.00801933313609146,0.00908206560421121,0.00904739305763513,0.0102523487673438,62
"result.63",-0.00538340494411451,0.00889124729200574,0.00885725189393582,0.0106475978667387,63
"result.64",0.000172293478228645,0.00912985853680226,0.00909501656122558,0.010583012237035,64
"result.65",0.0039737588356359,0.00911320643194102,0.0090784234814052,0.0102995845514846,65
"result.66",-0.00729995241438761,0.00888243875326822,0.00884847464039495,0.0102012146557719,66
"result.67",0.00145870286449435,0.00882399667019484,0.00879024018568231,0.0104779580285682,67
"result.68",0.00136638081820189,0.00902743610436829,0.00899295730666694,0.0102258399264983,68
"result.69",0.00355440222347341,0.00882397529650092,0.0087902188879454,0.00998000606138814,69
"result.70",0.00461032870874471,0.00862795672383498,0.00859489748730624,0.00988402330233129,70
"result.71",0.0030893683966783,0.00855793555195561,0.00852512564936347,0.0099029089712276,71
"result.72",0.00476854158452259,0.00854019534374828,0.00850744863581809,0.0097854966264491,72
"result.73",0.00498365888152377,0.00845495318448997,0.00842251026872276,0.00981888553239924,73
"result.74",0.00319173759730398,0.0084796447529456,0.00844711381564167,0.00987665010038237,74
"result.75",0.00605619263526985,0.00849748797693195,0.00846489344353785,0.00976291021046927,75
"result.76",0.00175443885119627,0.00841932413714375,0.00838700826788141,0.00995209989677131,76
"result.77",-0.00794715634848648,0.00853926793661941,0.00850652453259926,0.0097493526591147,77
"result.78",0.00625390143617522,0.00841363201273992,0.00838133644432304,0.0102055548638964,78
"result.79",0.00626370643422095,0.00876472906177383,0.00873118324600597,0.0103694287688939,79
"result.80",-0.00162207155222953,0.00887087231745198,0.00883694928857182,0.0104962691299702,80
"result.81",0.00529996894618657,0.0089766053384821,0.00894230689781494,0.0102273204755391,81
"result.82",-0.00227724249131724,0.00876559776094865,0.00873204885657941,0.0102661999875111,82
"result.83",0.000643445271058703,0.00876307207632721,0.00872953215193917,0.0100604870694018,83
"result.84",0.00406970434463572,0.00856908856270167,0.00853623893565469,0.00979085463905744,84
"result.85",-0.00375811893189559,0.0083821210835211,0.00834993791715277,0.00975232796418256,85
"result.86",-0.0127555465470805,0.00825681954852797,0.00822508366290009,0.00962616718489425,86
"result.87",-0.00793914594970002,0.0083805806288737,0.00834840295826922,0.0110463415094505,87
"result.88",0.00703874621435866,0.00939406779503571,0.0093582903991134,0.0112848368506811,88
"result.89",-0.00386197686384033,0.00959078527601065,0.00955431272711138,0.0113981437067372,89
"result.90",-0.0142182907673151,0.00961847705065821,0.0095819067342191,0.0111571376466869,90
"result.91",0.00382443843459313,0.00951771104680432,0.0094814965955905,0.0124887507300756,91
"result.92",-0.00849177829545675,0.0105352575927853,0.0104954624083078,0.0121882324433947,92
"result.93",-0.00375346436921557,0.0102972362637459,0.0102582761778436,0.0123948630452769,93
"result.94",0.00242502689542094,0.010409147565376,0.0103697946540038,0.0120549255187199,94
"result.95",0.00144353717767514,0.0101552944771797,0.0101168331046253,0.0117159069069756,95
"result.96",0.00122200870101181,0.00989571271674805,0.00985816478766566,0.0113925386242253,96
"result.97",-0.0141459304608055,0.00963037545447065,0.00959376313664251,0.0110907287231409,97
"result.98",0.00189634531384206,0.0094011634096276,0.0093653609201354,0.0124344154735278,98
"result.99",-0.00476050962739075,0.0104415274263161,0.0104020609179756,0.0120354099631814,99
"result.100",-0.0182382831016089,0.0101175905388473,0.0100792617297358,0.0118233834813352,100
"result.101",-0.000853940401993677,0.0100116300225679,0.00997367396552562,0.0139400227332586,101
"result.102",-0.000705045862752882,0.0116746401407752,0.01163086714174,0.0133998188486973,102
"result.103",-0.00149611738774325,0.0112169135042919,0.0111747347112541,0.0128867832914112,103
"result.104",-0.00335287649198965,0.0108371033330243,0.0107962512214144,0.0124377004437334,104
"result.105",-0.00116654930340236,0.0104889381242756,0.010449305336131,0.0120932567699216,105
"result.106",-0.00501729767788342,0.0102206429548559,0.0101819519134452,0.0117129449988253,106
"result.107",0.00135474906345524,0.00990955744517663,0.00987196075147523,0.0115454732763541,107
"result.108",-0.0213813732028311,0.00980008860143045,0.00976287762873795,0.0111962937322359,108
"result.109",-0.0150485325779029,0.00958896054006431,0.00955249443426709,0.0143014648183808,109
"result.110",-0.00720290468252586,0.0120531660367575,0.0120080783749543,0.0152394617599268,110
"result.111",0.00531015681262078,0.0127600542056641,0.0127125200249125,0.0149298198198944,111
"result.112",0.00778234914842549,0.0125492904797753,0.0125024846039494,0.0144581178177254,112
"result.113",-0.00408575257157967,0.0122005288981129,0.0121549303087747,0.0142820476104173,113
"result.114",-0.0109132652992037,0.012042845476337,0.0119977936156417,0.0138241953472779,114
"result.115",-0.00961134943295057,0.0116753051643954,0.0116315298527567,0.0141852592567742,115
"result.116",-0.00564497793087251,0.0119090398160395,0.0118644523339029,0.0142572121769888,116
"result.117",-0.00893187036856987,0.0119416586496257,0.01189695792484,0.013901816316887,117
"result.118",0.00457483259848887,0.0116617871404472,0.0116180588393107,0.0139896530115214,118
"result.119",0.00670893292724675,0.011656083828349,0.0116123753624251,0.0136101304515126,119
"result.120",0.000266649638154062,0.0113354813459452,0.0112928891161843,0.0134442071874899,120
"result.121",-0.00617583745637345,0.0111813301918389,0.0111392755413604,0.0129413819338269,121
"result.122",4.68960648269906e-05,0.0107759955292792,0.0107353572028117,0.0126764328440627,122
"result.123",-0.000359218989080954,0.0106401686489406,0.010600005850101,0.0122722847969482,123
"result.124",-6.65188580441306e-05,0.0103009103695868,0.0102619373817916,0.0118455269551037,124
"result.125",-0.00763158998337235,0.0099668052693076,0.00992900699016985,0.0114368612884665,125
