"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"result.25",-0.124301166038571,0.986834809415391,0.0794232518060247,-0.133741391711393,0.986020913556025,0.0879032649828828,2.5099895025588,-0.268557759149314,0.971453685349368,0.153304265183784,25
"result.27",-0.114089840581041,0.988232954052772,0.0719919946162283,-0.106362899170752,0.988767332841663,0.0851641591595511,3.17187892405774,-0.266573935051881,0.971673504822628,0.152406209313004,27
"result.28",-0.126108485767718,0.986880174804269,0.0799119928274451,-0.0969095330544573,0.99009870992646,0.0656940383275938,11.6210813161369,-0.279941313170123,0.970264043005074,0.156500035431174,28
"result.30",-0.110248026654029,0.988383764145316,0.0793508358778358,-0.368632953145501,0.96171342472956,0.191867850382022,2.19262018753993,-0.270514657308911,0.971254133754192,0.153492899234686,30
"result.31",-0.155898875418248,0.983550667748938,0.0954121753539323,-0.268411899245619,0.972167106092279,0.168348484604981,2.10164825682323,-0.269426428746995,0.971373091810857,0.152514178147219,31
"result.32",-0.162849838001176,0.982864100105936,0.103950590421911,-0.105736124916505,0.988920138500657,0.0705886872770765,2.78479652752357,-0.278199536529496,0.97043154621465,0.155665028566548,32
"result.33",-0.178464975240519,0.981307150326617,0.0950951381310686,-0.106694223451062,0.988669693192985,0.0793444006580038,7.7181882744323,-0.266593992716546,0.971667001277376,0.152344029214318,33
"result.34",-0.0928743959745413,0.990099003324533,0.0589420627931613,-5.43520253444887,0.437539523120444,0.548036667099508,4.02399474027509,-0.270082366179905,0.971302390242405,0.153416252159611,34
"result.35",-0.0965227321384007,0.989845924483461,0.0782639715411208,-0.375313400351764,0.961079467808859,0.174198084236164,2.32038619881418,-0.269989622339647,0.971311702927436,0.153202252585044,35
"result.37",-0.147921375088555,0.984297206994598,0.0788447826284756,-0.0959828760720024,0.990098924926405,0.0747323434016812,2.44246328086655,-0.272150347670239,0.971078447483765,0.154666528111309,37
"result.38",-0.0965506005739755,0.990098943905819,0.0706605129729565,-0.422490878189638,0.955983969731464,0.1657755389795,2.25062875374188,-0.283910493875554,0.969840622077721,0.158160347147188,38
"result.39",-0.0948686884704853,0.990098992445589,0.0608745294908817,-0.162910587661368,0.982714633909892,0.104785171779444,3.33830743065659,-0.272386081186016,0.971052466293971,0.153954718128567,39
"result.40",-0.094917077110267,0.99009899991436,0.0595898102279259,-0.378513119453342,0.96054201386313,0.15241988501618,2.51408430185779,-0.2883644362177,0.969363765427572,0.158500447848204,40
"result.41",-0.0916943778469642,0.990098999858085,0.0640383330767225,-0.364955911439603,0.961835929039024,0.195959394589393,2.11078197077944,-0.284857409924679,0.969737002486895,0.157462784761084,41
"result.43",-0.0953849847883304,0.990098317970854,0.0668710576047052,-0.166164425644025,0.982503533229874,0.099677584510771,4.03766315619452,-0.272136714547668,0.971087489648592,0.153875682999826,43
"result.44",-0.118856538626516,0.987346893058437,0.0834905571530266,-0.104857302381139,0.988947573631199,0.0806067050905807,3.63955888678163,-0.274126298041925,0.970867842520148,0.154194339843709,44
"result.45",-0.0968999127259019,0.990098974193444,0.0658169873611896,-0.131342635530407,0.986159123372974,0.0903910253852036,8.30507537019725,-0.277975411828013,0.970466975579682,0.155682963592775,45
"result.46",-0.100709139333184,0.989381208266138,0.0712684044248855,-0.719888116068654,0.925165140409282,0.266387435938672,2.20840615144624,-0.274420647716937,0.97084727081146,0.155278180322647,46
"result.47",-0.119999351375862,0.987465007485581,0.0667551526453858,-0.390980253559868,0.959526463034689,0.200218205321752,2.12690295748836,-0.281859968097176,0.970056954866001,0.157066176592601,47
"result.48",-0.168244732514777,0.982341902808103,0.0865381822868548,-0.111431686505286,0.988367237982075,0.0831896993041109,3.4263042905599,-0.284708689715445,0.969754112569195,0.158094645104127,48
