"","1993-11-04","","","1993-11-04","","","","","","",""
"result.34",0.00433192976718733,0.0218604639024775,0,1.75285341352883e-06,0.0148809751169579,0,1.05490453497694e-06,0.0166013342734423,0,1.22694045062536e-06,34
"result.35",0.000128379157616543,0.0216801985976716,0,2.15518194400526e-06,0.0148809751169579,0,1.47525959593397e-06,0.0165865221955067,0,1.64581430378883e-06,35
"result.36",0.00673834849363963,0.0216934424237891,0,1.49550939301478e-06,0.0148809751169579,0,8.14262662331737e-07,0.0164585832309346,0,9.72023473729385e-07,36
"result.37",0.000849711134369713,0.0215566835730741,0,2.07069724387021e-06,0.0148809751169579,0,1.40312639825866e-06,0.0166928396457177,0,1.58431285113463e-06,37
"result.38",-0.000764752786456491,0.0215889630838646,0,2.23537158703186e-06,0.0148809751169579,0,1.56457279034127e-06,0.0163763380362122,0,1.71410908226668e-06,38
"result.39",-0.00413103374021251,0.0213177476414543,0,2.5448781381664e-06,0.0148809751169579,0,1.90120088571683e-06,0.0161569191201672,0,2.02879528603775e-06,39
"result.40",-0.00468405595373422,0.0211340188783922,0,2.58180748321235e-06,0.0148809751169579,0,1.956503107069e-06,0.0161368857322693,0,2.08209416860012e-06,40
"result.41",-0.00216766008929881,0.0211134998657414,0,2.32811599550376e-06,0.0148809751169579,0,1.70486352062548e-06,0.0161578414650799,0,1.83255015543767e-06,41
"result.42",0.00311051696860876,0.0210768084133477,0,1.7966291444737e-06,0.0148809751169579,0,1.17704581483478e-06,0.015995421577793,0,1.28849046091829e-06,42
"result.43",0.00141255320324163,0.0209745558065109,0,1.95620026032671e-06,0.0148809751169579,0,1.34684219137148e-06,0.0159510817012737,0,1.45385284980305e-06,43
"result.44",-0.00092009594435627,0.0208172516829208,0,2.17373476272747e-06,0.0148809751169579,0,1.58010710613124e-06,0.0157613876670603,0,1.66814836114147e-06,44
"result.45",0.0059337200687013,0.0205644306264858,0,1.46307105577829e-06,0.0148809751169579,0,8.94725504825562e-07,0.0155488119408473,0,9.61509187214496e-07,45
"result.46",0.0113631471123847,0.0204560796852107,0,9.09293257282495e-07,0.0148809751169579,0,3.51782800457278e-07,0.0157543342801893,0,4.39118716780404e-07,46
"result.47",-0.00240148421123632,0.0213077799434771,0,2.37092641547108e-06,0.0148809751169579,0,1.72824593281923e-06,0.0171865764137688,0,1.95880606250029e-06,47
"result.48",8.43783597268555e-05,0.0223401813763147,0,2.22558030165854e-06,0.0148809751169579,0,1.47965967572294e-06,0.0170151469804372,0,1.69307686207084e-06,48
"result.49",-0.00359167962983609,0.022104672058056,0,2.56963516878893e-06,0.0148809751169579,0,1.8472654746792e-06,0.0167811755515081,0,2.03728551813419e-06,49
"result.50",0.00515106584953795,0.021947543469814,0,1.67964776202742e-06,0.0148809751169579,0,9.72990926741888e-07,0.0167572881696484,0,1.16062223201092e-06,50
"result.51",-0.00339590926236966,0.0218891057107911,0,2.52850149731579e-06,0.0148809751169579,0,1.82768843793255e-06,0.0168219690765291,0,2.02178783388966e-06,51
"result.52",0.00200519725682025,0.0219193163338289,0,1.99141190770065e-06,0.0148809751169579,0,1.28757778601362e-06,0.0167231448628812,0,1.47179476060593e-06,52
"result.53",0.000105398767969334,0.0216926135893019,0,2.15872148213301e-06,0.0148809751169579,0,1.47755763489869e-06,0.0164799119777455,0,1.63745132097743e-06,53
"result.54",0.00143271346080809,0.0214071481674338,0,1.99744347066235e-06,0.0148809751169579,0,1.34482616561483e-06,0.0162188119805505,0,1.47860985197407e-06,54
"result.55",-0.000547562394884515,0.0211088024755313,0,2.16563648704134e-06,0.0148809751169579,0,1.54285375118407e-06,0.0159945437528622,0,1.65421061477449e-06,55
"result.56",-0.00580973228669546,0.0208469999203018,0,2.66567322069943e-06,0.0148809751169579,0,2.06907074036511e-06,0.0157705598522172,0,2.15802921389103e-06,56
