"","V1","V2","V3"
"result.248",0.0209060464169573,0.0243996944382658,248
"result.249",0.0195823267219541,0.0224950001675026,249
"result.250",0.0176859612453737,0.0210766623692606,250
"result.251",0.0165148017494225,0.0196899395049215,251
"result.252",0.0183790859904709,0.0188645004501566,252
"result.253",0.017042178986807,0.0193303272350036,253
"result.254",0.0160477604476692,0.018879655401399,254
"result.256",0.024176728015047,0.0180322807772839,256
"result.257",0.0188879539275546,0.0219587925850178,257
"result.258",0.0187029103508438,0.0207449704184555,258
"result.259",0.0169392674011136,0.0201736580793366,259
"result.260",0.0161957968772604,0.0191718861434751,260
"result.261",0.0156786391235074,0.0184677821706956,261
"result.262",0.0377753981619765,0.018562070815868,262
"result.263",0.0278894792293657,0.028056102242779,263
"result.264",0.0230920788664178,0.0274433788522757,264
"result.265",0.0224232581521972,0.0254525384331217,265
"result.266",0.0211208368515652,0.024089660581275,266
"result.267",0.0217149355819106,0.0230515153128934,267
"result.268",0.0308146333344366,0.0231001847276602,268
"result.269",0.0246303821937929,0.0263140656678971,269
"result.270",0.0220362945170793,0.0255016938515595,270
"result.271",0.0239767452298359,0.0242582680230825,271
"result.272",0.0213869413147578,0.0241794738649261,272
"result.273",0.0282957593027916,0.0235512901705377,273
"result.274",0.0213437633446959,0.0253955732257438,274
"result.275",0.0205073244790706,0.0239128336662944,275
"result.276",0.0200429130190193,0.0227541548061581,276
"result.277",0.0183250032861111,0.0218413611450288,277
"result.278",0.0174255598433272,0.0207789710821586,278
"result.279",0.0177177166333139,0.0198172068137907,279
"result.280",0.0180127029412134,0.0196162831371751,280
"result.281",0.0238262278534417,0.0197508806979059,281
"result.282",0.0203973193115555,0.0218478301758225,282
"result.283",0.0180966042785027,0.0215456640281744,283
"result.284",0.0172995304675271,0.0206363001830923,284
"result.285",0.018838089931958,0.0198638073045529,285
"result.286",0.0167690414704608,0.0199432416792646,286
"result.287",0.0176298259183814,0.0192461059228677,287
"result.288",0.0224108020369651,0.0192495843356468,288
"result.289",0.0186276083136987,0.0210292260339102,289
"result.290",0.0173632775358549,0.0205219846975169,290
"result.291",0.0187413359767325,0.0198408757989981,291
"result.292",0.0212342799019064,0.0199468821981199,292
"result.293",0.0201983080443387,0.0209077696402247,293
"result.294",0.0242608631378218,0.0210420403092755,294
