"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"result.30",-0.00120392939421849,0.00190671900740114,0.000311064840161963,0.00365741348453952,4.86134287875802e-05,0.00207952382896568,0.000328345322318417,0.00719310757628223,8.39703697050073e-05,30
"result.31",0.000943975797064977,0.00147560263420843,5.31626837143452e-05,0.00283045847408658,1.88648267702161e-05,0.00229579418518065,0.000135181838811567,0.00795440081930522,7.01042502224025e-05,31
"result.32",-0.0259566439594414,0.00162424461066024,0.00275808885701017,0.00311557923226502,0.000290722231917065,0.00215611964263953,0.00281127636020809,0.00746377553034342,0.000334204194897849,32
"result.33",0.0037696078603406,0.00153017360933205,0.00201549082590769,0.00293513494685982,0.000826128184345976,0.0368983961674298,0.00331287883070892,0.126860749883166,0.00123091142022825,33
"result.34",0.00582740522112041,0.0224431887182206,0.00166157834971002,0.0430498782125781,0.000372224729914577,0.0266728599261969,0.00208454547050765,0.0920731222313798,0.000862457170102595,34
"result.35",0.00231214241027342,0.0165361824272807,0.00142240400170073,0.0317192288730936,0.000294070864628203,0.0204462221463501,0.00181340797360766,0.0713348575576809,0.000690227151474075,35
"result.36",-0.00749984579100163,0.0129985937315027,0.00204984395225043,0.0249335281230074,0.000324333739140091,0.0149251292247635,0.00224249750157651,0.0520850026066627,0.000595848483976644,36
"result.37",-0.000998762952053066,0.00965084849901388,0.00106496114510669,0.0185119796365214,0.000195107425885745,0.0150149555946743,0.00160137185467274,0.0521049468119778,0.000531037097640309,37
"result.38",0.0598003982489485,0.00964374106796839,0.0451409914628821,0.0184983463670036,0.0408890313631254,0.0108009970246393,0.0440994611018783,0.0375458395719665,0.0220320130902122,38
"result.39",0.025814052748076,0.0070892445420796,0.0168523273853968,0.0135983847031369,0.0120935113644898,0.084818576236167,0.00590045234880909,0.294776334834538,0.00268962282086462,39
"result.40",0.0322276203524192,0.0494263085324107,0.00171986881799915,0.0948081214988079,0.000625805011463888,0.0705102368470745,0.00382826164946554,0.245985446957878,0.00213757826605459,40
"result.41",-0.075324583125157,0.0416183182908227,0.011694290141598,0.0798310594954685,0.00155155642620626,0.0676329680912517,0.0142957551216409,0.236688804689533,0.00312013387814691,41
"result.42",4.66633154430417e-05,0.0401047980233145,0.00400581347078714,0.0769278685092658,0.000768812051938228,0.116786607046732,0.0116739943731289,0.406976274759263,0.00406929611443821,42
"result.43",-0.00688127002540144,0.0671748983784468,0.00740561684038482,0.128852955363975,0.00135734225389376,0.0834352830856234,0.00903165531110248,0.290500723397014,0.00297381993422416,43
"result.44",-0.0228752259411426,0.048736727833294,0.00716119537744366,0.0934853876623905,0.00116360613603533,0.0602469027316846,0.00831221286728272,0.20969006417469,0.00232565290115833,44
"result.45",-0.00212234519524017,0.0357400748823764,0.00378624200776166,0.0685555822887878,0.00070677927484028,0.0534394172826677,0.00555617624779079,0.186921535718921,0.00189043880914161,45
"result.46",-0.0235930669150856,0.0320453199449489,0.00556383868600345,0.0614684097805238,0.000850614766956095,0.0380884581180556,0.00616815250331412,0.133203941640809,0.00156797008555895,46
"result.47",-0.0275511953331791,0.0232535039549404,0.00508046992881195,0.0446042015617465,0.000721553968949256,0.0430924175828152,0.00706436129159943,0.150040589669562,0.00177591785002742,47
"result.48",-0.048090593722482,0.0260246253109315,0.00741152190334135,0.0499196867356986,0.000980102804581807,0.0500292790884667,0.00981198728109487,0.17269838310023,0.00220788976822712,48
"result.49",-0.0489734566614871,0.029780377878815,0.00787538345403021,0.0571238631419035,0.00106097319803391,0.0778369441381152,0.0126810400799602,0.267313422581012,0.00316286879242499,49
"result.50",-0.0243166812755198,0.0452080324530115,0.00695247137285313,0.0867167458139377,0.00111033427089458,0.0897977721797585,0.0114114453455278,0.307617229782276,0.00331933911057796,50
"result.51",0.076644602643787,0.0516675206986505,0.0224793737506228,0.0991071501268905,0.000224625474831035,0.0726325740656086,0.00361082572036063,0.248258330889237,0.0017161372824545,51
"result.52",-0.0249929306893758,0.0421091251910539,0.00671020558804297,0.0807725111557502,0.00105765441845126,0.123246541570019,0.0148239472259395,0.419536388093668,0.00444529318783044,52
"result.53",-0.0402891561431411,0.0693261249267962,0.0109615281069937,0.132979376171498,0.00173268532314639,0.0940619062041964,0.0134351062347337,0.320184259443733,0.00360473415586874,53
