"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"result.15",-4.30228740128078e-05,0.0172933115825131,0.000866816722826297,0.0255685734689095,0.000256115963429223,0.0169037004660594,0.000847336167003611,0.0251441868711961,0.00025187209745209,15
"result.16",0.00635877138533006,0.0176281496622508,0.000563468913846037,0.0260636395527669,0.000197048681674369,0.0162142718742137,0.000492775024444183,0.0241374458459471,0.000177786744606171,16
"result.17",0.0137957310882696,0.0169658494962519,0.000158505920399116,0.0250844129672814,0.000112886818790118,0.0155936272040103,8.98948057870355e-05,0.0235565365807426,9.76080549247302e-05,17
"result.18",-0.0119958215347279,0.0165971389511199,0.00142964802429239,0.0245392656357879,0.000365350871705158,0.016164981490401,0.00140804015125644,0.0244118489621646,0.000364076704968925,18
"result.19",-0.0226943390924997,0.0171590086806717,0.00199266738865857,0.0253700034266089,0.000480643425191086,0.016498305955722,0.00195963225241109,0.0246763572851601,0.000473706963776597,19
"result.20",0.00295041218040555,0.017431426045583,0.000724050693258874,0.0257727789953819,0.000228223668149764,0.0186073605754484,0.000782847419752143,0.0280112836669842,0.000250608714865787,20
"result.21",-0.0171871214609714,0.019592070150928,0.00183895958059497,0.0289673428176016,0.00046154464278573,0.0178078445250916,0.00174974829930315,0.0268501326854921,0.000440372541464635,21
"result.22",-0.00861159908558996,0.0188553856180604,0.00137334923518252,0.0278781371722729,0.000364897362578629,0.0187174677532782,0.00136645334194341,0.0280432656782075,0.000366548647637975,22
"result.23",-0.00676543163314017,0.019669788997426,0.00132176103152831,0.0290822519850664,0.000358476836182066,0.0181754650149059,0.0012470448324023,0.0274072365683778,0.00034172668201518,23
"result.24",-0.0211036621159784,0.0192126085909265,0.00201581353534525,0.0284062998542893,0.000495099619702678,0.0174289831593137,0.00192663226376461,0.0265793929541808,0.000476830550701593,24
"result.25",0.00285930194069045,0.018718316253775,0.000792950715654226,0.0276754768492751,0.000248161749085846,0.019230382786764,0.000818554042303676,0.0289931877472434,0.00026133885806553,25
"result.26",-0.00481463583393264,0.020267205302325,0.00125409205681288,0.0299655462350117,0.000347801820689444,0.0183934346705479,0.00116040352522403,0.0276791768249836,0.000324938126589163,26
"result.27",0.00805502943018355,0.0193946295122416,0.000566980004102902,0.0286754221260637,0.000206203926958801,0.0177300551883882,0.000483751287910231,0.0265687514279066,0.000185137219977231,27
"result.28",-0.0269066052818048,0.0187300560134176,0.00228183306476112,0.0276928343637834,0.000545994396455883,0.0173358133404521,0.00221212093111284,0.025965555479557,0.000528721607613618,28
"result.29",0.004392549426322,0.0183865223861304,0.000699698647990419,0.027184911705568,0.00022792362279246,0.0202910668553819,0.000794925871452997,0.0306256507501405,0.000262331013238185,29
"result.30",-0.00302348380779327,0.0212951766253227,0.0012159330216558,0.0314854263441831,0.000345089101519764,0.0194363853116693,0.00112299345597313,0.0293729594666261,0.000323964432744194,30
"result.31",-0.0153405474614136,0.020428797689128,0.00178846725752708,0.0302044644314563,0.000455450118928699,0.0187901284225794,0.00170653379419965,0.0281043167897825,0.000434448642511961,31
"result.32",-0.0044175079535622,0.0196302212080539,0.00120238645808081,0.0290237500651287,0.000334412580186909,0.0191943793575237,0.00118059436555429,0.0284513941838041,0.000328689021373663,32
"result.33",0.0266395467489217,0.0200116760043088,0.00629647720738232,0.0295877400757618,2.94819332684009e-05,0.0184465301996544,0.00778336572180391,0.0275428746253737,9.03327876452011e-06,33
